股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
2013,0,0.85,-0.011242102,,
2847,0,0.85,-0.123367422,,
300017,0,0.85,0.179218146,,
300382,0,0.85,-0.08765137,,
300529,0,0.85,0.135963968,,
600303,0,0.85,-0.24758173,,
600667,0,0.85,0.112520709,,
601038,0,0.85,-0.191171723,,
603686,0,0.85,-0.228694329,,
2305,0,0.86,-0.21955717,,
2528,0,0.86,-0.169605402,,
300133,0,0.86,0.032811316,,
601168,0,0.86,-0.131912512,,
600123,0.23,0.87,-0.095454372,,
690,0,0.87,0.105808519,,
2115,0,0.87,-0.1254352,,
2253,0,0.87,-0.234550987,,
300423,0,0.87,0.041665044,,
600080,0,0.87,-0.141122935,,
600749,0,0.87,-0.236425389,,
603669,0,0.87,-0.132436842,,
708,0,0.88,-0.157441615,,
856,0,0.88,-0.27914746,,
2717,0,0.88,-0.009283532,,
300042,0,0.88,-0.273686697,,
300061,0,0.88,-0.097227289,,
300069,0,0.88,-0.24578407,,
600163,0,0.88,-0.104995855,,
603608,0,0.88,-0.162492705,,
603766,0,0.88,-0.136755121,,
2300,0,0.89,-0.251338663,,
300115,0,0.89,-0.439607269,,
600192,0,0.89,-0.272278907,,
600259,0,0.89,-0.257727659,,
300051,0,0.9,-0.0321677,,
300096,0,0.9,-0.202338601,,
300119,0,0.9,-0.144501587,,
300369,0,0.9,0.149441004,,
300635,0,0.9,-0.185326872,,
600712,0,0.9,-0.140774705,,
600824,0,0.9,-0.203180104,,
601229,0,0.9,-0.14920404,,
2227,0,0.91,-0.16595818,,
2350,0,0.91,-0.317613183,,
2489,0,0.91,-0.280858149,,
2678,0,0.91,-0.125271687,,
300269,0,0.91,-0.375489376,,
300495,0,0.91,0.005409823,,
600892,0,0.91,-0.088188369,,
413,0,0.92,-0.239633347,,
2703,0,0.92,-0.376008585,,
300605,0,0.92,-0.139644773,,
600109,0,0.92,-0.225069433,,
600452,0,0.92,-0.196767599,,
603133,0,0.92,-0.22485455,,
719,0,0.93,-0.191540478,,
831,0,0.93,-0.199735267,,
2391,0,0.93,-0.056333345,,
2749,0,0.93,-0.036229357,,
300582,0,0.93,-0.197825763,,
600718,0,0.93,-0.140635584,,
600,0,0.94,-0.351648553,,
735,0,0.94,0.336413541,,
2587,0,0.94,-0.106603787,,
2711,0,0.94,-0.170819264,,
300480,0,0.94,-0.092600994,,
600496,0,0.94,-0.24406918,,
300375,0,0.95,-0.154038485,,
300456,0,0.95,-0.026962102,,
300472,0,0.95,-0.001833408,,
601058,0,0.95,-0.123105317,,
601928,0,0.95,-0.187258966,,
603718,0,0.95,-0.092658888,,
2237,0,0.96,-0.04490583,,
2521,0,0.96,-0.142386158,,
2615,0,0.96,-0.213601709,,
2742,0,0.96,0.202019096,,
2747,0,0.96,-0.070946048,,
300425,0,0.96,-0.122534583,,
600420,0,0.96,-0.213195432,,
603393,0,0.96,-0.056993143,,
603908,0,0.96,-0.258114669,,
2389,0,0.97,-0.26955617,,
2418,0,0.97,0.019112027,,
2670,0,0.97,-0.076616039,,
300113,0,0.97,0.058116313,,
603968,0,0.97,-0.167925132,,
407,0,0.98,-0.214981279,,
2831,0,0.98,-0.215010289,,
300001,0,0.98,-0.17672508,,
300484,0,0.98,-0.35299063,,
603077,0,0.98,-0.111441772,,
2136,0,0.99,-0.174842944,,
2201,0,0.99,-0.038943517,,
2337,0,0.99,-0.16599509,,
2658,0,0.99,-0.242624403,,
300245,0,0.99,-0.041964794,,
300358,0,0.99,-0.176851432,,
600057,0,0.99,-0.148486317,,
600360,0,0.99,-0.040345625,,
589,1,1,-0.232913194,,
710,1,1,-0.169418391,,
767,1,1,-0.182074163,,
868,1,1,0.086732012,,
875,1,1,-0.306862076,,
893,1,1,-0.284002462,,
962,1,1,-0.286908371,,
2420,1,1,-0.288253733,,
2291,0.91,1,-0.319424959,,
691,0.79,1,-0.086856268,,
600355,0.76,1,-0.266258925,,
600130,0.75,1,0.05446363,,
2760,0.74,1,-0.119739421,,
300404,0.69,1,-0.090435358,,
670,0.61,1,-0.033763223,,
300312,0.55,1,-0.074093784,,
600156,0.45,1,-0.313467705,,
2660,0.39,1,-0.022004583,,
300220,0.32,1,-0.208835113,,
600726,0.29,1,-0.295804705,,
300264,0.25,1,-0.154349629,,
300157,0.13,1,-0.272594426,,
600313,0.12,1,-0.185051499,,
600744,0.07,1,-0.296804231,,
5,0,1,-0.205394818,,
10,0,1,-0.155961164,,
17,0,1,-0.270085244,,
20,0,1,-0.184857472,,
23,0,1,-0.277707705,,
37,0,1,-0.243386374,,
42,0,1,-0.062226974,,
55,0,1,-0.054998612,,
58,0,1,-0.16024105,,
61,0,1,-0.200278537,,
62,0,1,-0.176078315,,
68,0,1,-0.294912828,,
70,0,1,-0.1560144,,
151,0,1,-0.180281365,,
158,0,1,-0.226594484,,
401,0,1,-0.221349427,,
421,0,1,-0.206573151,,
422,0,1,-0.448179301,,
428,0,1,-0.207393013,,
517,0,1,-0.029876651,,
521,0,1,-0.241467595,,
524,0,1,-0.177280736,,
529,0,1,-0.214161174,,
530,0,1,-0.281737229,,
532,0,1,-0.086737636,,
536,0,1,-0.256742098,,
548,0,1,-0.200772418,,
550,0,1,-0.133328186,,
552,0,1,-0.082181999,,
554,0,1,-0.204384833,,
565,0,1,-0.291000253,,
567,0,1,-0.098783386,,
572,0,1,-0.204029296,,
573,0,1,-0.202728389,,
612,0,1,-0.255208829,,
617,0,1,-0.174618615,,
619,0,1,-0.213925433,,
622,0,1,-0.247023948,,
627,0,1,-0.167613429,,
628,0,1,-0.148555843,,
630,0,1,-0.099546659,,
637,0,1,-0.202989765,,
639,0,1,-0.197616551,,
